Name,Website,Description,Data type,Dataset(s) - size,Notes,Geographical coverage
Planetary Computer,planetarycomputer.microsoft.com,Environmental and Earth observation data,Earth observation data,Petabytes,Cloud-based platform,Global
Project Matsu,matsu.opensciencedatacloud.org,Cloud-based satellite imagery processing platform,Satellite imagery,Large,Focus on disaster relief,Global
Protected Planet,protectedplanet.net,Database of protected areas and conservation efforts,Conservation data,Large,Tracks international targets,Global
Refinitiv ESG Scores,refinitiv.com/esg-scores,Corporate ESG performance metrics and rankings,ESG data,Large,Industry peer comparison,Global
Resource Watch,https://resourcewatch.org,Comprehensive platform for sustainability and environmental data,Environmental data,Large,Real-time data visualization,Global
S&P Global ESG Scores,spglobal.com/esg,Detailed ESG scoring across 30 focus areas,ESG data,Large,Public disclosure based,Global
SASB Materiality Finder,sasb.org/materiality-finder,Framework for sustainability risk and materiality,ESG materiality data,Large,Industry-specific issues,Global
Sustainability Research and Data Portal,https://sustain.ubc.ca/programs/seeds-sustainability-program/sustainability-research-and-data-portal,An open data portal providing access to a variety of campus sustainability data,Campus sustainability data,Not specified,,University of British Columbia
Sustainable Development Goals Index,sdgindex.org,Country-level SDG progress tracking,SDG data,Large,Annual updates,Global
Sustainable Development Report,sdgindex.org,Country-specific SDG progress tracking,SDG data,Large,Historical trends available,Global
Sustainable Investing Open Access Initiative,https://www.robeco.com/en-int/sustainable-investing/sustainable-investing-open-access-initiative,Scores contributions to the 17 Sustainable Development Goals (SDGs) from various companies,Sustainable Development Goals data,Not specified,Provides insights into ESG criteria,Global
Sustainalytics ESG Risk,sustainalytics.com/esg-risk,Company ESG risk ratings and assessments,ESG risk data,13200+ companies,Free public access,Global
Trase.Earth,trase.earth,Supply chain transparency platform,Supply chain data,Large,Commodity focus,Global
UN Data,data.un.org,Connects 32 databases of country-specific indicators,Development indicators,60M+ records,Economic/social/environmental,Global
USGS Earth Explorer,earthexplorer.usgs.gov,Comprehensive earth science data repository,Earth science data,Petabytes,Satellite imagery focus,Global
Urban Data Lab,data.sustain.ubc.ca,Campus sustainability research data portal,Campus sustainability data,Various,Multiple data formats,UBC Campus
WWF Risk Filter Suite,riskfilter.org,Tool for biodiversity and water physical risks assessment,Biodiversity/Water risk data,Large,Interactive risk mapping,Global
Water Peace & Security Partnership,waterpeacesecurity.org,Water-related security risk assessment tools,Water security data,Large,Founded in 2018,Global
Wikirate,https://wikirate.org/data,Largest open registry of corporate sustainability data,Corporate sustainability data,Large,Data is open and free to access,Global
World Bank Open Data,data.worldbank.org,Comprehensive country-level development data,Development indicators,Large,Multiple indicators,Global
World Resources Institute (WRI),https://www.wri.org/data/data-products,Provides reliable data for actionable change in various sectors,Environmental data,Large,Focuses on sustainable development,Global
WorldClim,worldclim.org,Global climate information database,Climate data,Large,Historical records and future projections,Global
i-Tree Landscape,https://landscape.itreetools.org,Interactive database for tree canopy and land cover characteristics,Tree and land cover data,Not specified,Includes environmental benefits calculation,USA
iNaturalist,inaturalist.org,Public repository of citizen science biodiversity data,Biodiversity data,28M+ observations,240000+ species recorded,Global
